"yr" "Mes" "Fecha" "Ciudad" "Temperatura"
1981 "agosto" "1981-08-01" "Bucaramanga" 21.4
1981 "septiembre" "1981-09-01" "Bucaramanga" 21.5
1981 "octubre" "1981-10-01" "Bucaramanga" 20.8
1981 "noviembre" "1981-11-01" "Bucaramanga" 21
1981 "diciembre" "1981-12-01" "Bucaramanga" 21.3
1982 "enero" "1982-01-01" "Bucaramanga" 21
1982 "febrero" "1982-02-01" "Bucaramanga" 21.1
1982 "marzo" "1982-03-01" "Bucaramanga" 21.7
1982 "abril" "1982-04-01" "Bucaramanga" 21
1982 "mayo" "1982-05-01" "Bucaramanga" 21.1
1982 "junio" "1982-06-01" "Bucaramanga" 21.7
1982 "julio" "1982-07-01" "Bucaramanga" 21.7
1982 "agosto" "1982-08-01" "Bucaramanga" 22.2
1982 "septiembre" "1982-09-01" "Bucaramanga" 21.5
1982 "octubre" "1982-10-01" "Bucaramanga" 20.8
1982 "noviembre" "1982-11-01" "Bucaramanga" 21.1
1982 "diciembre" "1982-12-01" "Bucaramanga" 21.4
1983 "enero" "1983-01-01" "Bucaramanga" 22.3
1983 "febrero" "1983-02-01" "Bucaramanga" 22.6
1983 "marzo" "1983-03-01" "Bucaramanga" 22.6
1983 "abril" "1983-04-01" "Bucaramanga" 22.1
1983 "mayo" "1983-05-01" "Bucaramanga" 22.2
1983 "junio" "1983-06-01" "Bucaramanga" 22.3
1983 "julio" "1983-07-01" "Bucaramanga" 21.9
1983 "agosto" "1983-08-01" "Bucaramanga" 21.9
1983 "septiembre" "1983-09-01" "Bucaramanga" 21.6
1983 "octubre" "1983-10-01" "Bucaramanga" 21
1983 "noviembre" "1983-11-01" "Bucaramanga" 21.4
1983 "diciembre" "1983-12-01" "Bucaramanga" 20.8
1984 "enero" "1984-01-01" "Bucaramanga" NA
1984 "febrero" "1984-02-01" "Bucaramanga" 21
1984 "marzo" "1984-03-01" "Bucaramanga" 21.7
1984 "abril" "1984-04-01" "Bucaramanga" 21.5
1984 "mayo" "1984-05-01" "Bucaramanga" 21.2
1984 "junio" "1984-06-01" "Bucaramanga" 21
1984 "julio" "1984-07-01" "Bucaramanga" 20.7
1984 "agosto" "1984-08-01" "Bucaramanga" 20.9
1984 "septiembre" "1984-09-01" "Bucaramanga" 20.5
1984 "octubre" "1984-10-01" "Bucaramanga" 20.6
1984 "noviembre" "1984-11-01" "Bucaramanga" 20.1
1984 "diciembre" "1984-12-01" "Bucaramanga" 21
1985 "enero" "1985-01-01" "Bucaramanga" 20.7
1985 "febrero" "1985-02-01" "Bucaramanga" 22
1985 "marzo" "1985-03-01" "Bucaramanga" 21.8
1985 "abril" "1985-04-01" "Bucaramanga" 21.3
1985 "mayo" "1985-05-01" "Bucaramanga" 21.2
1985 "junio" "1985-06-01" "Bucaramanga" 21.5
1985 "julio" "1985-07-01" "Bucaramanga" 21.2
1985 "agosto" "1985-08-01" "Bucaramanga" 20.9
1985 "septiembre" "1985-09-01" "Bucaramanga" 21.1
1985 "octubre" "1985-10-01" "Bucaramanga" 20.7
1985 "noviembre" "1985-11-01" "Bucaramanga" 20.5
1985 "diciembre" "1985-12-01" "Bucaramanga" 20.8
1986 "enero" "1986-01-01" "Bucaramanga" 21.3
1986 "febrero" "1986-02-01" "Bucaramanga" 20.8
1986 "marzo" "1986-03-01" "Bucaramanga" 20.5
1986 "abril" "1986-04-01" "Bucaramanga" 21.1
1986 "mayo" "1986-05-01" "Bucaramanga" 21.5
1986 "junio" "1986-06-01" "Bucaramanga" 21.3
1986 "julio" "1986-07-01" "Bucaramanga" 21.8
1986 "agosto" "1986-08-01" "Bucaramanga" 21.8
1986 "septiembre" "1986-09-01" "Bucaramanga" 21.6
1986 "octubre" "1986-10-01" "Bucaramanga" 19.3
1986 "noviembre" "1986-11-01" "Bucaramanga" 20.7
1986 "diciembre" "1986-12-01" "Bucaramanga" 20.7
1987 "enero" "1987-01-01" "Bucaramanga" 21.7
1987 "febrero" "1987-02-01" "Bucaramanga" 22.7
1987 "marzo" "1987-03-01" "Bucaramanga" 21.5
1987 "abril" "1987-04-01" "Bucaramanga" 21.2
1987 "mayo" "1987-05-01" "Bucaramanga" 21.9
1987 "junio" "1987-06-01" "Bucaramanga" 22.2
1987 "julio" "1987-07-01" "Bucaramanga" 21.8
1987 "agosto" "1987-08-01" "Bucaramanga" 20.9
1987 "septiembre" "1987-09-01" "Bucaramanga" 21.7
1987 "octubre" "1987-10-01" "Bucaramanga" 20.8
1987 "noviembre" "1987-11-01" "Bucaramanga" 21.5
1987 "diciembre" "1987-12-01" "Bucaramanga" 21
1988 "enero" "1988-01-01" "Bucaramanga" 22.2
1988 "febrero" "1988-02-01" "Bucaramanga" 21.3
1988 "marzo" "1988-03-01" "Bucaramanga" 22
1988 "abril" "1988-04-01" "Bucaramanga" 21.6
1988 "mayo" "1988-05-01" "Bucaramanga" 21.9
1988 "junio" "1988-06-01" "Bucaramanga" 21.1
1988 "julio" "1988-07-01" "Bucaramanga" 21
1988 "agosto" "1988-08-01" "Bucaramanga" 20.6
1988 "septiembre" "1988-09-01" "Bucaramanga" 20.9
